word,value
gold,0.004454755522580761
schweiz,3.3326960847946366e-05
responsibility,2.872012025873774e-05
sich,0.00022912565268259037
brennpunkt,0.0015378826532682643
(remix),0.009100037414908935
digital,0.004883712081533792
dane,7.632526972215983e-06
schreiben,1.0170374396663388e-07
martins,7.79728703744193e-07
it's,0.0623438101097277
privacy,0.00021436640535815244
whitesnake,0.03281499098106793
med,2.5080821287131694e-05
impfen,2.597581423403807e-05
drama),0.009753001216123196
schuld?!,4.596059992348163e-05
lernt,1.076161216158942e-05
zucker,3.711508629822359e-05
krieg!,5.000434078359499e-06
ozonschicht?!,2.2088697139633323e-05
weg,0.007035663973211158
wladimir,4.462760285255895e-05
skyrim,0.00642777154218563
polizei,0.004650526415392054
bonbon,0.013002772814262159
with,0.01521451057380535
brd,5.879968056182949e-05
christmas,0.09665169795031116
erstes,3.6213991126679216e-05
burger-kette,0.00013472627160764013
video],0.2623291841717964
youtube?,0.00022450830270650518
sweet,0.03603868980740361
simons,0.16096383873345024
sorry,0.5962294192591869
birgitta,2.5080821287131694e-05
stoppen!,0.00021111866580081795
geschwindigkeit,4.149512753838662e-06
thomas,1.070872621472677e-05
"girls""",0.050744984738532804
✪,0.00018516590441541232
grande,0.3904909933883223
ade!,1.7474737288347032e-05
nico,0.00045006279792594715
who’s,0.00731864345338648
ott,0.004237302069580741
revolutionäre,1.1723729579513776e-05
grundgesetz,1.1335221277561235e-05
ampelmännchen,0.00014730160053663452
rohlexxx,0.00010338321179200289
"""auseinandergehen",0.0013651822377383624
...,9.142929273864464e-05
kreationismus?,1.571390646780471e-05
"papiergeldsystems""",3.872946372745396e-05
studium,2.5080821287131694e-05
fly!,6.929618496414588e-05
mutiger,0.00201477218675277
ehe,4.080150800453418e-05
reichtum,0.0001150879566726429
cena!!,0.009813498671184308
about,0.010112902288972804
dass,0.003559685450335208
"diebstahl"")",3.8463677943221154e-05
gehirn,0.0001087491013236825
geistige,3.404837940514969e-05
"nur,",0.0004805312055434713
ku,0.0001308994987346556
führungsmacht,1.748965383746214e-05
erste,0.0001994695189668797
parlament,1.4713141627173034e-07
ja,6.875986722096184e-05
/jesus,0.00013436013812936025
fair,7.800575458496852e-05
soziales,0.0019057952690426025
globus,1.7474737288347032e-05
brd?,7.1341108242835e-05
negative,6.3056321259313e-08
jovi,0.192828087521344
20.,0.0003688815134418604
neu,1.8821972883425044e-06
01.02.2013:,1.4779588073231235e-05
voll,0.0003688815134418604
entlarvt,0.0001208165895578035
augstein,2.3129465452891878e-05
grönemeyer,0.00033334520826247885
"""wer",0.00017228862837099696
love?,0.10661731219924651
bankster,3.706491245120005e-05
blöd,0.0019131450596065914
sax,0.011224967638851805
"betrug!!!!""",6.211522261514176e-05
dragons,0.12799642028314975
masern,2.597581423403807e-05
not,0.03603868980740361
student,3.051112318999016e-08
schmidt-salomon,0.00010589258216813965
dynamit,1.652007814498023e-05
ganz,0.00011910389850940539
casimir-effekt?,3.076809464974586e-05
الاسلامي,0.00013436013812936025
"terror,",1.49558745627734e-05
i̇stanbul,0.0027362877015253413
geheime,0.00021009823823635272
scene,0.0031109920933217717
behaind,9.08682270844287e-05
stephen,0.00012296592868029835
„tage,0.017986267117026576
„der,2.5999545107630285e-05
muttikulti,7.084750607211695e-05
ostfriesland,1.8842313632218371e-06
dirk,0.00015726427328728603
"geistes,",1.8785359535597055e-05
wilhelm,0.00012406500714009778
peas,0.10661731219924651
"terror""",9.248260451365907e-06
sabatina,6.756383119191422e-05
entrich,7.051459581686615e-08
menschen,8.014288925818738e-05
ndr,2.6571798173682545e-06
aids.avi,7.645002631475891e-05
professoren,0.00012406500714009778
finale],0.009753001216123196
5.,0.006120233658954684
thüringen,1.3823572879944878e-05
"wissen,",0.0037335512212647278
187,1.958949713789324e-05
[german,0.002455533838280489
dj,0.00018760950637045063
let's,2.4231934037490187e-05
"""schüler",1.0170374396663388e-07
relativitätstheorie,5.7303279475600414e-05
knowledge,0.0008002620116260967
meiner,0.0020904414673263453
natur“,8.98505116198026e-05
lange,0.000419243851404218
"""atlantis",0.006808706305337456
aufbau,7.362503531984571e-05
1+2,0.0027344950035316897
deutschland:,0.0003928344402084021
nächsten,7.084750607211695e-05
angela,0.00010322930012613339
manfred,3.565190843502362e-05
wolf?,8.509484455192279e-05
liechtenstein),0.010789245746850114
hannover,9.399460017396303e-06
кіт,5.424199678220474e-09
vw-skandal,0.00011970530664872808
"run-dmc,",0.009917493461490031
firma,2.965681174067044e-06
dr.,4.423276631764848e-05
бід,5.424199678220474e-09
radioaktivität?,0.00010120810772103649
wann,2.9966669147288785e-05
[official,0.2623291841717964
julia,0.0031179635459582045
30,0.02097096689121538
gefaked,0.001279024928074468
edeka,0.022225949732241096
tv),0.0019131450596065914
tim,0.00989549155154525
genervt,3.5064060794896476e-05
ernährung,3.494337235205607e-05
amerika,0.004537499315584655
integrationstest,0.019202277761389237
club,3.706491245120005e-05
akboga),0.0027950304279905497
natur,8.509484455192279e-05
life,0.11307939553353417
andree,3.1867173109545284e-08
bryan,0.0012216307932542574
blum:,9.565372725053872e-05
14,0.00019180648087147373
"kabarett,",0.0002431682276245434
"""es",0.00013525784317610574
spongebozz,0.009753001216123196
iphone,0.001532616433405672
m.i.a.,0.050744984738532804
schon,0.0002139751849563608
thunderstruck,0.0978001868010294
unternehmenswissen,4.990263703962836e-07
waffengesetz,1.2229536199507835e-05
dich,0.009282826163815368
iglesias,0.06483286463027321
supergeil,0.0054057502800524465
bundez,0.00018203342910123998
2011,0.02686982517479437
gopro:,0.008654160743084656
lewis,0.5812815806482369
6,2.1113697247473195e-06
süß!,5.3589736770898724e-05
dmt?,9.272601547421922e-05
"egal""",0.0027950304279905497
film),0.00039035931009273416
spektrum,4.3664807409674814e-07
vorhersehbar,1.131962670348635e-05
school,2.712099839110237e-08
schwer!,4.3664807409674814e-07
turtur,0.00018494419025356506
alkohol,0.00018760950637045063
kassensymphonie,0.02410311878748189
"dürft,",1.076161216158942e-05
politikversagen,0.00023805185127806193
05.01.2014,1.980849919990139e-05
gefahr,2.391529638127407e-05
unvermeidlich,5.3362598409373243e-05
jahre,3.862640393356777e-05
halt,0.00019876098288391215
ist!,8.851683652392014e-05
österreich,0.00011167240593776345
ozon,2.2088697139633323e-05
unglaubliche,9.272601547421922e-05
wenn,0.0003460000921200872
diversity,3.051112318999016e-08
..,0.00201477218675277
vortrag,1.2068437469064689e-05
kenfm,0.0001554401036350845
steuert,0.00015595319902339617
│die,5.492341186678118e-05
linke:,4.2553524500599397e-05
quantenphysik,0.00013106256373748208
widerlich!,3.1479342832552516e-05
hitler,3.146849443319608e-05
rechten,9.17659321311742e-05
tv,0.0029576178752370496
fler,0.007883230769243495
"das,",1.076161216158942e-05
wirklichkeit?,5.6903244749331655e-05
--,0.007397292992670758
denken,0.009282826163815368
basics-part,5.5328192767768385e-05
oder,0.00011745155168242747
science?,1.2087828982914326e-05
funktioniert,9.172683269182703e-05
crossfit?,0.009379880012607847
gekommen...,0.00022744618485722134
fracking,2.8630281951567215e-05
hq,0.0003688815134418604
gewinn,0.00013472627160764013
berichterstattung,0.0001732130023994937
ok,4.898052309433087e-06
keiner,0.00014512785251558766
krass,6.00018188155151e-05
nicht?,4.152089248685817e-05
republic,0.0007388444766945661
parade,0.0007388444766945661
spitzer,3.565190843502362e-05
chomsky:,3.804059036831996e-05
game,0.005198715697596849
mv,0.03603868980740361
kerstin,0.004237302069580741
cro,0.014671540049715963
felix,5.440472277255135e-06
i,0.06004004247262256
doku,0.00012503373530137999
02.03.2015,0.00014730160053663452
oynadık,0.0027362877015253413
tech-up,5.179364865244797e-05
vs.,0.001679112916970624
gaza?,1.958949713789324e-05
rether,0.00019876098288391215
stein,1.5109786228642908e-05
hysterie?,0.0001084772133148117
birthday,0.04522142863875645
auftakt,7.90577103100634e-07
arsch,3.8153142511643036e-05
jentsch,0.00011569343296172426
lone,0.0005820593410455228
gegenstandpunkt),1.4300902451628278e-05
mean,0.01392366292450724
gefälscht?,1.5991896701313513e-05
"video,",2.4705195459414924e-05
guter,3.74079930808475e-05
unbedingt,0.0002431682276245434
(dr.,6.696852527722952e-05
(prod.,0.006475113278952178
durch,6.756383119191422e-05
gretel,0.010366613804721888
"wahl,",2.2449406418234985e-05
22,0.0005820593410455228
garten,2.6844364207513123e-05
"kult,",8.706518508503638e-06
(quarks,1.9871555521160705e-05
"irre""",0.00017145657874118996
rolls,2.383935758577898e-05
elektronenkonfiguration,4.13961358942591e-05
vorhersage,7.084750607211695e-05
➤,0.00023665783196075927
bearbeitet),0.00028929697773804984
(purpose,0.5962294192591869
f.,0.00019515660219773464
zentrales,0.0001087491013236825
meyle,0.003216046636639626
und,0.0008106226591986154
looks,0.0050231214715386165
archery,0.02437436809684058
dummies:,3.647503073619358e-05
#12,3.969971744489565e-05
lösung:,1.4731448301087028e-05
das,0.0006418623900638295
birkenbihl),0.00019515660219773464
tease,0.005198715697596849
harald,5.1188596128966474e-05
wege,5.214689965649208e-06
"""is",0.0027950304279905497
reich,5.314924655536323e-05
rupert,2.524286925251853e-05
maus,0.001176669263109008
cognitive,1.2087828982914326e-05
politik?,8.937725019787785e-06
